시도,구시군,선거인수,투표수,보수정당,진보정당,그외정당,무소속,득표수_계,무효투표수,기권수
대전광역시,합계,1077468,532568,231489,217273,79279,0,528041,4527,544900
대전광역시,동구,183206,87967,35745,36078,15084,0,86907,1060,95239
대전광역시,중구,203076,100902,44780,39961,15272,0,100013,889,102174
대전광역시,서구,367265,182493,83617,73194,24446,0,181257,1236,184772
대전광역시,유성구,164867,84058,36053,36081,11410,0,83544,514,80809
대전광역시,대덕구,159054,77148,31294,31959,13067,0,76320,828,81906
