지역,선거년도,선거종류,득표_1위_정당,득표_2위_정당,득표_1위_후보번호,득표_1위_득표율,득표_2위_후보번호,득표_2위_득표율,보수정당_후보자수,진보정당_후보자수,그외정당_후보자수,무소속_후보자수,선거인수,투표수,보수정당,진보정당,그외정당,무소속,득표수_계,무효투표수,기권수
전국,2002,대통령,진보정당,보수정당,2,0.4891,1,0.4659,1,1,4,0,34991529,24784963,11443297,12014277,1104342,0,24561916,223047,10206566
서울,2002,대통령,진보정당,보수정당,2,0.513,1,0.4496,1,1,4,0,7670682,5475715,2447376,2792957,203657,0,5443990,31725,2194967
부산,2002,대통령,보수정당,진보정당,1,0.6675,2,0.2986,1,1,4,0,2786142,1983492,1314274,587946,66873,0,1969093,14399,802650
대구,2002,대통령,보수정당,진보정당,1,0.7775,2,0.1868,1,1,4,0,1827162,1299968,1002164,240745,46000,0,1288909,11059,527194
인천,2002,대통령,진보정당,보수정당,2,0.4983,1,0.4457,1,1,4,0,1824905,1236447,547205,611766,68845,0,1227816,8631,588458
광주,2002,대통령,진보정당,보수정당,2,0.9518,1,0.0358,1,1,4,0,967222,755398,26869,715182,9365,0,751416,3982,211824
대전,2002,대통령,진보정당,보수정당,2,0.5509,1,0.3982,1,1,4,0,998541,675029,266760,369046,34040,0,669846,5183,323512
울산,2002,대통령,보수정당,진보정당,1,0.5288,2,0.3527,1,1,4,0,729645,510496,267737,178584,60001,0,506322,4174,219149
경기,2002,대통령,진보정당,보수정당,2,0.5065,1,0.4419,1,1,4,0,6944934,4831412,2120191,2430193,247622,0,4798006,33406,2113522
강원,2002,대통령,보수정당,진보정당,1,0.5248,2,0.4151,1,1,4,0,1131168,773560,400405,316722,45810,0,762937,10623,357608
충북,2002,대통령,진보정당,보수정당,2,0.5042,1,0.4289,1,1,4,0,1079642,734385,311044,365623,48495,0,725162,9223,345257
충남,2002,대통령,진보정당,보수정당,2,0.5216,1,0.4123,1,1,4,0,1398762,922882,375110,474531,60177,0,909818,13064,475880
전북,2002,대통령,진보정당,보수정당,2,0.9159,1,0.0619,1,1,4,0,1427135,1064744,65334,966053,23413,0,1054800,9944,362391
전남,2002,대통령,진보정당,보수정당,2,0.9339,1,0.0463,1,1,4,0,1521109,1161511,53074,1070506,22740,0,1146320,15191,359598
경북,2002,대통령,보수정당,진보정당,1,0.7347,2,0.2165,1,1,4,0,2044285,1463664,1056446,311358,70134,0,1437938,25726,580621
경남,2002,대통령,보수정당,진보정당,1,0.6752,2,0.2708,1,1,4,0,2249044,1628033,1083564,434642,86538,0,1604744,23289,621011
제주,2002,대통령,진보정당,보수정당,2,0.5605,1,0.3993,1,1,4,0,391151,268227,105744,148423,10632,0,264799,3428,122924
