지역,선거년도,선거종류,득표_1위_정당,득표_2위_정당,득표_1위_후보번호,득표_1위_득표율,득표_2위_후보번호,득표_2위_득표율,보수정당_후보자수,진보정당_후보자수,그외정당_후보자수,무소속_후보자수,선거인수,투표수,보수정당,진보정당,그외정당,무소속,득표수_계,무효투표수,기권수
전국,2007,대통령,보수정당,진보정당,2,0.4867000128743296,1,0.26149631048817423,1,1,7,1,37653518,23732854,11492389,6174681,2385847,3559963,23612880,119974,13920664
서울,2007,대통령,보수정당,진보정당,2,0.5323630089189683,1,0.24504485813647744,1,1,7,1,8051696,5066022,2689162,1237812,528169,596226,5051369,14653,2985674
부산,2007,대통령,보수정당,무소속,2,0.5790614420219502,11,0.19685582281560574,1,1,7,1,2843063,1765231,1018715,236708,157510,346319,1759252,5979,1077832
대구,2007,대통령,보수정당,무소속,2,0.6937835429595197,11,0.18058318653960898,1,1,7,1,1896866,1267969,876719,75932,82828,228199,1263678,4291,628897
인천,2007,대통령,보수정당,진보정당,2,0.4922052138909883,1,0.23774284299174436,1,1,7,1,2005874,1210220,593283,286565,142452,183057,1205357,4863,795654
광주,2007,대통령,진보정당,보수정당,1,0.7975004232471522,2,0.08597207778073379,1,1,7,1,1031333,663338,56875,527588,54569,22520,661552,1786,367995
대전,2007,대통령,보수정당,무소속,2,0.36287148866874747,11,0.28904429248260927,1,1,7,1,1098977,680264,246008,159700,76283,195957,677948,2316,418713
울산,2007,대통령,보수정당,무소속,2,0.5397195450706344,11,0.1752939724558704,1,1,7,1,806423,521216,279891,70736,77054,90905,518586,2630,285207
경기,2007,대통령,보수정당,진보정당,2,0.5188821636355193,1,0.2355670967095155,1,1,7,1,8222124,5035641,2603443,1181936,561286,670742,5017407,18234,3186483
강원,2007,대통령,보수정당,진보정당,2,0.5196992963401672,1,0.18889762723858783,1,1,7,1,1164655,728895,376004,136668,83729,127102,723503,5392,435760
충북,2007,대통령,보수정당,진보정당,2,0.41588947501494045,1,0.2379513745230543,1,1,7,1,1146102,702593,289499,165637,78210,162750,696096,6497,443509
충남,2007,대통령,보수정당,무소속,2,0.3426447698264892,11,0.3323400746036341,1,1,7,1,1532751,924039,313693,192999,104554,304259,915505,8534,608712
전북,2007,대통령,진보정당,보수정당,1,0.8160369236454961,2,0.09044970245219706,1,1,7,1,1425056,957575,86149,777236,54437,34630,952452,5123,467481
전남,2007,대통령,진보정당,보수정당,1,0.7865277182035434,2,0.09226141947196399,1,1,7,1,1500831,971461,88834,757309,81918,34790,962851,8610,529370
경북,2007,대통령,보수정당,무소속,2,0.7258528072155859,11,0.13726208728567496,1,1,7,1,2097394,1437209,1033957,96822,98167,195526,1424472,12737,660185
경남,2007,대통령,보수정당,무소속,2,0.5502155439468347,11,0.21488264104921967,1,1,7,1,2416351,1549070,843662,189463,170719,329486,1533330,15740,867281
제주,2007,대통령,보수정당,진보정당,2,0.38671940750715367,1,0.3269050424411475,1,1,7,1,414022,252111,96495,81570,33962,37495,249522,2589,161911
