지역,선거년도,선거종류,득표_1위_정당,득표_2위_정당,득표_1위_후보번호,득표_1위_득표율,득표_2위_후보번호,득표_2위_득표율,보수정당_후보자수,진보정당_후보자수,그외정당_후보자수,무소속_후보자수,선거인수,투표수,보수정당,진보정당,그외정당,무소속,득표수_계,무효투표수,기권수
전국,2017,대통령,진보정당,보수정당,1,0.4109,2,0.2404,1,1,10,1,42479710,32807908,7852849,13423800,11361536,33990,32672175,135733,9671802
서울,2017,대통령,진보정당,그외정당,1,0.4234,3,0.2272,1,1,10,1,8382999,6590646,1365285,2781345,2418337,3950,6568917,21729,1792353
부산,2017,대통령,진보정당,보수정당,1,0.3871,2,0.3198,1,1,10,1,2950224,2261633,720484,872127,657942,2156,2252709,8924,688591
대구,2017,대통령,보수정당,진보정당,2,0.4536,1,0.2176,1,1,10,1,2043276,1581347,714205,342620,516050,1501,1574376,6971,461929
인천,2017,대통령,진보정당,그외정당,1,0.4121,3,0.2366,1,1,10,1,2409031,1820091,379191,747090,685001,1681,1812963,7128,588940
광주,2017,대통령,진보정당,그외정당,1,0.6115,3,0.3008,1,1,10,1,1166901,957321,14882,583847,355489,614,954832,2489,209580
대전,2017,대통령,진보정당,그외정당,1,0.4293,3,0.2322,1,1,10,1,1220602,945897,191376,404545,345622,758,942301,3596,274705
울산,2017,대통령,진보정당,보수정당,1,0.3815,2,0.2746,1,1,10,1,941093,744960,203602,282794,254040,926,741362,3598,196133
세종,2017,대통령,진보정당,그외정당,1,0.5108,3,0.2103,1,1,10,1,189421,152801,23211,77767,51124,135,152237,564,36620
경기,2017,대통령,진보정당,그외정당,1,0.4209,3,0.2291,1,1,10,1,10262309,7916009,1637345,3319812,2923935,6553,7887645,28364,2346300
강원,2017,대통령,진보정당,보수정당,1,0.3416,2,0.2997,1,1,10,1,1287173,955885,284909,324768,339609,1350,950636,5249,331288
충북,2017,대통령,진보정당,보수정당,1,0.3862,2,0.2633,1,1,10,1,1303688,975441,255502,374806,338904,1347,970559,4882,328247
충남,2017,대통령,진보정당,보수정당,1,0.3863,2,0.2485,1,1,10,1,1711912,1240204,306614,476661,449009,1662,1233946,6258,471708
전북,2017,대통령,진보정당,그외정당,1,0.6484,3,0.2377,1,1,10,1,1525626,1205794,40231,778747,379955,2070,1201003,4791,319832
전남,2017,대통령,진보정당,그외정당,1,0.5988,3,0.3069,1,1,10,1,1572838,1238738,30221,737921,461305,2965,1232412,6326,334100
경북,2017,대통령,보수정당,진보정당,2,0.4863,1,0.2173,1,1,10,1,2249984,1711627,827237,369726,501764,2499,1701226,10401,538357
경남,2017,대통령,보수정당,진보정당,2,0.3724,1,0.3673,1,1,10,1,2744633,2135055,790491,779731,549150,3267,2122639,12416,609578
제주,2017,대통령,진보정당,그외정당,1,0.4551,3,0.2091,1,1,10,1,518000,374459,68063,169493,134300,556,372412,2047,143541
