지역,선거년도,선거종류,득표_1위_정당,득표_2위_정당,득표_1위_후보번호,득표_1위_득표율,득표_2위_후보번호,득표_2위_득표율,보수정당_후보자수,진보정당_후보자수,그외정당_후보자수,무소속_후보자수,선거인수,투표수,보수정당,진보정당,그외정당,무소속,득표수_계,무효투표수,기권수
전국,1997,대통령,진보정당,보수정당,2,0.4027,1,0.3875,1,1,5,0,32290416,26042633,9935718,10326275,5380445,0,25642438,400195,6247783
서울,1997,대통령,진보정당,보수정당,2,0.4487,1,0.4089,1,1,5,0,7358547,5926743,2394309,2627308,833156,0,5854773,71970,1431804
부산,1997,대통령,보수정당,그외정당,1,0.5334,3,0.2978,1,1,5,0,2692311,2124010,1117069,320178,657159,0,2094406,29604,568301
대구,1997,대통령,보수정당,그외정당,1,0.7265,3,0.1307,1,1,5,0,1707338,1347018,965607,166576,196905,0,1329088,17930,360320
인천,1997,대통령,진보정당,보수정당,2,0.3851,1,0.364,1,1,5,0,1639655,1311512,470560,497839,324212,0,1292611,18901,328143
광주,1997,대통령,진보정당,보수정당,2,0.9729,1,0.0171,1,1,5,0,870554,783025,13294,754159,7746,0,775199,7826,87529
대전,1997,대통령,진보정당,보수정당,2,0.4503,1,0.2918,1,1,5,0,881474,692821,199266,307493,176134,0,682893,9928,188653
울산,1997,대통령,보수정당,그외정당,1,0.5136,3,0.267,1,1,5,0,654125,530459,268998,80751,174014,0,523763,6696,123666
경기,1997,대통령,진보정당,보수정당,2,0.3928,1,0.3554,1,1,5,0,5707087,4600005,1612108,1781577,1141839,0,4535524,64481,1107082
강원,1997,대통령,보수정당,그외정당,1,0.4319,3,0.3095,1,1,5,0,1077853,846596,358921,197438,274584,0,830943,15653,231257
충북,1997,대통령,진보정당,보수정당,2,0.3743,1,0.3079,1,1,5,0,1015921,805496,243210,295666,250940,0,789816,15680,210425
충남,1997,대통령,진보정당,그외정당,2,0.4825,3,0.2615,1,1,5,0,1330627,1023990,235457,483093,282648,0,1001198,22792,306637
전북,1997,대통령,진보정당,보수정당,2,0.9228,1,0.0454,1,1,5,0,1391537,1190190,53114,1078957,37118,0,1169189,21001,201347
전남,1997,대통령,진보정당,보수정당,2,0.9461,1,0.0319,1,1,5,0,1519292,1325731,41534,1231726,28576,0,1301836,23895,193561
경북,1997,대통령,보수정당,그외정당,1,0.6192,3,0.2176,1,1,5,0,1988379,1574454,953360,210403,375845,0,1539608,34846,413925
경남,1997,대통령,보수정당,그외정당,1,0.5515,3,0.313,1,1,5,0,2094036,1681584,908808,182102,557104,0,1648014,33570,412452
제주,1997,대통령,진보정당,보수정당,2,0.4058,1,0.3659,1,1,5,0,361680,278999,100103,111009,62465,0,273577,5422,82681
