지역,선거년도,선거종류,득표_1위_정당,득표_2위_정당,득표_1위_후보번호,득표_1위_득표율,득표_2위_후보번호,득표_2위_득표율,보수정당_후보자수,진보정당_후보자수,그외정당_후보자수,무소속_후보자수,선거인수,투표수,보수정당,진보정당,그외정당,무소속,득표수_계,무효투표수,기권수
전국,2022,대통령,보수정당,진보정당,2,0.4856239327890078,1,0.4783053686916569,1,1,10,0,44197692,34067853,16394815,16147738,1217758,0,33760311,307542,10129839
서울,2022,대통령,보수정당,진보정당,2,0.5056183753759625,1,0.4573563328886051,1,1,10,0,8346647,6501831,3255747,2944981,238411,0,6439139,62692,1844816
부산,2022,대통령,보수정당,진보정당,2,0.5825542685046817,1,0.38157251380391877,1,1,10,0,2921510,2200224,1270072,831896,78210,0,2180178,20046,721286
대구,2022,대통령,보수정당,진보정당,2,0.7514300422217852,1,0.2160844836504873,1,1,10,0,2046714,1611512,1199888,345045,51873,0,1596806,14706,435202
인천,2022,대통령,진보정당,보수정당,1,0.4891770671871301,2,0.4705595017605275,1,1,10,0,2519225,1883504,878560,913320,75174,0,1867054,16450,635721
광주,2022,대통령,진보정당,보수정당,1,0.8482088205509702,2,0.12723367337658556,1,1,10,0,1209206,985492,124511,830058,24032,0,978601,6891,223714
대전,2022,대통령,보수정당,진보정당,2,0.4955782832354942,1,0.4644911741871271,1,1,10,0,1233177,945308,464060,434950,37391,0,936401,8907,287869
울산,2022,대통령,보수정당,진보정당,2,0.5441054929364764,1,0.4079325635991708,1,1,10,0,942210,735461,396321,297134,34935,0,728390,7071,206749
세종,2022,대통령,진보정당,보수정당,1,0.5191547298502334,2,0.44147443788578067,1,1,10,0,288895,231832,101491,119349,9051,0,229891,1941,57063
경기,2022,대통령,진보정당,보수정당,1,0.5094879107750027,2,0.45623857488158376,1,1,10,0,11433288,8763727,3965341,4428151,297884,0,8691376,72351,2669561
강원,2022,대통령,보수정당,진보정당,2,0.5418157957528036,1,0.41720750815239005,1,1,10,0,1333621,1015458,544980,419644,41216,0,1005840,9618,318163
충북,2022,대통령,보수정당,진보정당,2,0.5067476136126287,1,0.451246227265843,1,1,10,0,1365033,1020649,511921,455853,42435,0,1010209,10440,344384
충남,2022,대통령,보수정당,진보정당,2,0.5108424350646629,1,0.4496495347580582,1,1,10,0,1796474,1324660,670283,589991,51839,0,1312113,12547,471814
전북,2022,대통령,진보정당,보수정당,1,0.8298084165497679,2,0.14428452635384306,1,1,10,0,1533125,1235212,176809,1016863,31747,0,1225419,9793,297913
전남,2022,대통령,진보정당,보수정당,1,0.8610083547234385,2,0.11445986838794102,1,1,10,0,1581278,1282168,145549,1094872,31195,0,1271616,10552,299110
경북,2022,대통령,보수정당,진보정당,2,0.7276127384940285,1,0.23802238839935916,1,1,10,0,2273028,1774284,1278922,418371,60403,0,1757696,16588,498744
경남,2022,대통령,보수정당,진보정당,2,0.5824602795027547,1,0.37382363684977576,1,1,10,0,2809907,2146882,1237346,794130,92868,0,2124344,22538,663025
제주,2022,대통령,진보정당,보수정당,1,0.5259378439336884,2,0.4269441661443399,1,1,10,0,564354,409649,173014,213130,19094,0,405238,4411,154705
