지역,선거년도,선거종류,득표_1위_정당,득표_2위_정당,득표_1위_후보번호,득표_1위_득표율,득표_2위_후보번호,득표_2위_득표율,보수정당_후보자수,진보정당_후보자수,그외정당_후보자수,무소속_후보자수,선거인수,투표수,보수정당,진보정당,그외정당,무소속,득표수_계,무효투표수,기권수
전국,2025,대통령,진보정당,보수정당,1,0.4942,2,0.4115,1,1,2,1,44391871,35236497,14395639,17287513,3261673,35791,34980616,255881,9155374
서울,2025,대통령,진보정당,보수정당,1,0.4713,2,0.4156,1,1,2,1,8293885,6641606,2738405,3105459,739246,5998,6589108,52498,1652279
부산,2025,대통령,보수정당,진보정당,2,0.514,1,0.4014,1,1,2,1,2865552,2245755,1146238,895213,186662,2099,2230212,15543,619797
대구,2025,대통령,보수정당,진보정당,2,0.6763,1,0.2323,1,1,2,1,2049078,1643051,1103913,379130,147907,1362,1632312,10739,406027
인천,2025,대통령,진보정당,보수정당,1,0.5168,2,0.3845,1,1,2,1,2619348,2035355,776952,1044295,197482,2098,2020827,14528,583993
광주,2025,대통령,진보정당,보수정당,1,0.8477,2,0.0802,1,1,2,1,1194471,1002149,79937,844682,70871,934,996424,5725,192322
대전,2025,대통령,진보정당,보수정당,1,0.4851,2,0.4059,1,1,2,1,1241882,977609,393549,470321,104629,1109,969608,8001,264273
울산,2025,대통령,보수정당,진보정당,2,0.4757,1,0.4254,1,1,2,1,934509,747950,353180,315820,72476,899,742375,5575,186559
세종,2025,대통령,진보정당,보수정당,1,0.5563,2,0.3322,1,1,2,1,307067,254695,83965,140620,27965,235,252785,1910,52372
경기,2025,대통령,진보정당,보수정당,1,0.5221,2,0.3795,1,1,2,1,11715343,9297448,3504620,4821148,900509,8356,9234633,62815,2417895
강원,2025,대통령,보수정당,진보정당,2,0.4731,1,0.4396,1,1,2,1,1327019,1029407,483360,449161,88126,1137,1021784,7623,297612
충북,2025,대통령,진보정당,보수정당,1,0.4747,2,0.4322,1,1,2,1,1379142,1065558,457065,501990,97153,1228,1057436,8122,313584
충남,2025,대통령,진보정당,보수정당,1,0.4768,2,0.4327,1,1,2,1,1839339,1397521,600108,661316,123985,1519,1386928,10593,441818
전북,2025,대통령,진보정당,보수정당,1,0.8265,2,0.109,1,1,2,1,1510908,1246099,134996,1023272,78022,1719,1238009,8090,264809
전남,2025,대통령,진보정당,보수정당,1,0.8587,2,0.0854,1,1,2,1,1559431,1303365,110624,1111941,70174,2104,1294843,8522,256066
경북,2025,대통령,보수정당,진보정당,2,0.6687,1,0.2553,1,1,2,1,2213614,1747364,1159594,442683,129978,1788,1734043,13321,466250
경남,2025,대통령,보수정당,진보정당,2,0.5199,1,0.394,1,1,2,1,2776028,2179989,1123843,851733,183388,2678,2161642,18347,596039
제주,2025,대통령,진보정당,보수정당,1,0.5477,2,0.3479,1,1,2,1,565255,421576,145290,228729,43100,528,417647,3929,143679
