시도,구시군,선거인수,투표수,보수정당,진보정당,그외정당,득표수_계,무효투표수,기권수
경기도,합계,7918828,3695552,2181677,1124317,349515,3655509,40043,4223276
경기도,수원시장안구,206015,98094,56361,31861,9161,97383,711,107921
경기도,수원시권선구,217455,97485,56267,31707,8660,96634,851,119970
경기도,수원시팔달구,166662,72030,42829,22480,6021,71330,700,94632
경기도,수원시영통구,173454,82006,45246,31247,5095,81588,418,91448
경기도,성남시수정구,206678,84853,41683,28638,13484,83805,1048,121825
경기도,성남시중원구,207205,82650,41203,26147,14478,81828,822,124555
경기도,성남시분당구,330404,164190,107353,46797,9169,163319,871,166214
경기도,의정부시,299556,130381,77107,41367,10643,129117,1264,169175
경기도,안양시만안구,204688,95595,53699,31436,9555,94690,905,109093
경기도,안양시동안구,259321,134635,76522,46671,10485,133678,957,124686
경기도,부천시원미구,327003,143407,88972,41878,11406,142256,1151,183596
경기도,부천시소사구,170625,78660,55269,17302,5423,77994,666,91965
경기도,부천시오정구,137195,53681,30607,15818,6594,53019,662,83514
경기도,광명시,239187,112843,61192,36497,14094,111783,1060,126344
경기도,평택시,284458,139667,78709,37584,21140,137433,2234,144791
경기도,양주시,121097,61143,36566,17730,5766,60062,1081,59954
경기도,동두천시,63655,33131,19435,10518,2569,32522,609,30524
경기도,안산시상록구,253921,102640,54662,33799,13280,101741,899,151281
경기도,안산시단원구,230496,94613,51198,29832,12731,93761,852,135883
경기도,고양시덕양구,287230,130051,76495,40606,11856,128957,1094,157179
경기도,고양시일산동구,162750,73926,45372,23061,5016,73449,477,88824
경기도,고양시일산서구,201819,95298,57838,30561,6275,94674,624,106521
경기도,과천시,43524,25790,15453,8309,1793,25555,235,17734
경기도,의왕시,105917,53783,30792,17693,4828,53313,470,52134
경기도,구리시,140385,68671,40106,22085,5854,68045,626,71714
경기도,남양주시,336528,148529,89434,42065,15184,146683,1846,187999
경기도,오산시,94380,45858,25582,14852,4848,45282,576,48522
경기도,화성시,223162,100402,59794,28894,10465,99153,1249,122760
경기도,시흥시,271413,109489,61397,34414,12610,108421,1068,161924
경기도,군포시,203276,103793,57058,36202,9703,102963,830,99483
경기도,하남시,103677,52387,31652,14718,5349,51719,668,51290
경기도,파주시,206376,98474,63372,26039,7383,96794,1680,107902
경기도,여주군,79881,41534,26199,10587,3835,40621,913,38347
경기도,이천시,140754,66688,41377,18038,6196,65611,1077,74066
경기도,용인시처인구,146083,67523,40745,20302,5409,66456,1067,78560
경기도,용인시수지구,196871,97153,63260,28927,4490,96677,476,99718
경기도,용인시기흥구,175478,84664,51321,27293,5413,84027,637,90814
경기도,안성시,119170,64428,36415,19349,7528,63292,1136,54742
경기도,김포시,152704,77104,48646,21661,5782,76089,1015,75600
경기도,광주시,161569,73070,45080,20354,6777,72211,859,88499
경기도,포천시,117916,59905,37858,15958,4866,58682,1223,58011
경기도,연천군,36970,22966,13683,6489,2190,22362,604,14004
경기도,양평군,68290,42689,28979,9225,3547,41751,938,25601
경기도,가평군,43630,29673,18889,7326,2564,28779,894,13957
