시도,구시군,선거인수,투표수,득표수_1_한나라당_이회창,득표수_2_새정치국민회의_김대중,득표수_3_국민신당_이인제,득표수_4_건설국민승리21_권영길,득표수_5_공화당_허경영,득표수_6_바른나라정치연합_김한식,득표수_7_통일한국당_신정일,득표수_계,무효투표수,기권수
대구,중구,77965,61331,46225,7257,6087,642,60,57,204,60532,799,16634
대구,동구갑,119944,93609,66780,11877,11903,1272,124,95,304,92355,1254,26335
대구,동구을,123038,94953,65420,12655,13845,1097,138,89,323,93567,1386,28085
대구,서구갑,118365,92701,66466,10868,12638,1002,107,91,302,91474,1227,25664
대구,서구을,104077,80012,54919,9617,12651,998,120,77,298,78680,1332,24065
대구,남구,154165,119711,88485,14546,13104,1412,136,100,311,118094,1617,34454
대구,북구갑,126170,99157,71008,11975,13151,1147,132,87,293,97793,1364,27013
대구,북구을,140088,112827,79369,14263,15938,1296,142,131,283,111422,1405,27261
대구,수성구갑,165076,133183,98740,16341,14485,1713,132,102,300,131813,1370,31893
대구,수성구을,153556,123282,92950,14597,12540,1301,123,96,258,121865,1417,30274
대구,달서구갑,148418,116816,82942,13962,16467,1335,132,82,347,115267,1549,31602
대구,달서구을,182824,145859,104787,18027,18898,1679,194,125,400,144110,1749,36965
대구,달성군,93652,73577,47516,10591,11942,1364,121,97,485,72116,1461,20075
인천,합계,1639655,1311512,470560,497839,297739,20340,1915,2356,1862,1292611,18901,328143
인천,중구,53812,41515,17334,13606,9191,496,73,69,99,40868,647,12297
인천,동구,67366,53747,19746,18516,13119,1129,101,113,106,52830,917,13619
인천,남구갑,154189,121949,45526,44705,27560,1857,178,238,149,120213,1736,32240
인천,남구을,143427,114265,46376,39563,24565,1650,179,194,130,112657,1608,29162
인천,연수구,161507,131688,54248,45315,27903,2191,149,221,163,130190,1498,29819
인천,남동구갑,132103,105062,37639,40375,23544,1508,160,195,123,103544,1518,27041
인천,남동구을,129650,103485,35800,40714,23574,1464,153,185,116,102006,1479,26165
인천,부평구갑,187250,148047,49585,62496,30809,2257,190,247,154,145738,2309,39203
인천,부평구을,149955,121344,43394,49372,24227,2210,170,194,143,119710,1634,28611
인천,계양구,195023,158544,51717,66388,35363,2407,176,233,173,156457,2087,36479
인천,서구,202758,161910,50321,64547,41124,2826,236,305,202,159561,2349,40848
인천,강화군,52315,41613,15252,10518,14182,297,121,128,232,40730,883,10702
인천,옹진군,10300,8343,3622,1724,2578,48,29,34,72,8107,236,1957
광주,합계,870554,783025,13294,754159,5181,1478,154,660,273,775199,7826,87529
광주,동구,99187,87879,1776,84226,512,160,22,87,42,86825,1054,11308
광주,서구,156805,141300,2297,136603,814,254,24,104,28,140124,1176,15505
광주,남구,164829,147582,2501,142353,795,259,30,135,58,146131,1451,17247
광주,북구갑,140653,126293,1989,121960,662,252,21,80,32,124996,1297,14360
광주,북구을,162549,146714,2369,141592,946,292,22,91,45,145357,1357,15835
광주,광산구,146531,133257,2362,127425,1452,261,35,163,68,131766,1491,13274
대전,합계,881474,692821,199266,307493,164374,8444,1028,1352,936,682893,9928,188653
대전,동구갑,102348,78586,20259,35379,20151,797,158,197,159,77100,1486,23762
대전,동구을,80726,61944,15819,28235,15915,669,117,121,85,60961,983,18782
대전,중구,180565,140027,40011,63096,32804,1460,196,267,186,138020,2007,40538
대전,서구갑,134004,105171,28178,47865,26152,1070,140,199,139,103743,1428,28833
대전,서구을,153488,124816,43295,53235,25191,1394,136,181,94,123526,1290,28672
대전,유성구,93072,74853,24295,31722,15937,1443,120,154,112,73783,1070,18219
대전,대덕구,137271,107424,27409,47961,28224,1611,161,233,161,105760,1664,29847
울산,합계,654125,530459,268998,80751,139824,32145,627,427,991,523763,6696,123666
울산,중구,155651,124401,67509,16597,31830,6402,143,100,192,122773,1628,31250
울산,남구갑,113311,91663,53780,12216,21475,3041,82,54,119,90767,896,21648
울산,남구을,91574,74655,41404,10610,18643,2897,84,51,113,73802,853,16919
울산,동구,125435,103911,42533,23075,26950,9924,101,89,126,102798,1113,21524
울산,북구,66047,54885,23553,7993,14799,7590,78,48,133,54194,691,11162
울산,울주군,102107,80944,40219,10260,26127,2291,139,85,308,79429,1515,21163
경기,합계,5707087,4600005,1612108,1781577,1071704,47608,7077,8035,7415,4535524,64481,1107082
경기,수원시권선구,192659,154397,53339,58090,38588,1691,222,239,155,152324,2073,38262
경기,수원시팔달구,156084,125457,47962,44680,29535,1145,191,173,143,123829,1628,30627
경기,수원시장안구,175812,140932,51151,52560,33114,1702,212,252,132,139123,1809,34880
경기,성남시수정구,182334,145865,39818,70909,30914,1362,188,265,151,143607,2258,36469
경기,성남시중원구,190920,151994,40779,73650,33343,1299,182,254,154,149661,2333,38926
경기,성남시분당구,255849,215478,109195,75438,26549,2016,171,388,124,213881,1597,40371
경기,의정부시,207741,166236,63136,63019,35619,1518,257,218,224,163991,2245,41505
경기,안양시만안구,177145,141695,49009,59608,29081,1621,167,202,136,139824,1871,35450
경기,안양시동안구갑,118457,97270,37145,40781,16931,985,92,176,75,96185,1085,21187
경기,안양시동안구을,103345,86534,37769,32969,13866,833,74,140,53,85704,830,16811
경기,부천시원미구갑,116776,92957,28239,42516,19342,988,96,151,94,91426,1531,23819
경기,부천시원미구을,142615,119149,43886,50207,21841,1407,104,178,94,117717,1432,23466
경기,부천시오정구,122807,98551,29533,44742,21338,882,102,182,101,96880,1671,24256
경기,부천시소사구,141214,114185,39644,49484,21754,1312,124,190,115,112623,1562,27029
경기,광명시갑,116994,95020,30068,44831,17697,865,95,153,84,93793,1227,21974
경기,광명시을,115908,96367,35138,42570,16031,1208,96,137,117,95297,1070,19541
경기,평택시갑,112009,89333,27470,33378,25211,1481,173,162,157,88032,1301,22676
경기,평택시을,125297,100120,31407,36796,27389,2352,222,219,224,98609,1511,25177
경기,동두천시,52179,41432,15813,13745,10545,394,80,64,106,40747,685,10747
경기,양주군,68986,55270,19097,18021,16300,412,136,114,199,54279,991,13716
경기,안산시갑,184990,148683,47570,64104,32727,1738,140,212,114,146605,2078,36307
경기,안산시을,167178,132545,36185,58720,33547,1523,172,198,138,130483,2062,34633
경기,과천시,48596,40281,18875,15252,5011,631,27,74,37,39907,374,8315
경기,의왕시,75088,62077,22793,25085,12346,896,71,107,55,61353,724,13011
경기,군포시,171630,143582,54980,59056,25556,1983,143,204,123,142045,1537,28048
경기,시흥시,138271,112936,35284,46106,28181,1121,154,214,158,111218,1718,25335
경기,구리시,111015,88751,30956,34294,21193,688,113,119,132,87495,1256,22264
경기,남양주시,188185,148419,49081,52762,42334,1102,307,277,331,146194,2225,39766
경기,여주군,70436,55399,16079,14867,22272,443,199,125,243,54228,1171,15037
경기,오산시,50110,40348,11475,14679,13068,426,64,93,68,39873,475,9762
경기,화성군,125610,98179,27271,33867,33253,1175,252,239,313,96370,1809,27431
경기,파주시,125980,99322,36566,29122,30421,638,273,254,356,97630,1692,26658
경기,고양시덕양구,232783,186857,71872,75339,34678,2045,189,281,228,184632,2225,45926
경기,고양시일산구,249248,205429,91210,78408,31083,2159,188,239,164,203451,1978,43819
경기,하남시,85156,68002,23156,26217,16877,487,85,109,90,67021,981,17154
경기,광주군,75228,59306,16975,20390,20091,352,130,108,151,58197,1109,15922
경기,포천군,98084,77957,29414,23302,22338,482,277,202,372,76387,1570,20127
경기,연천군,39855,32288,11147,9541,10348,207,88,78,173,31582,706,7567
경기,양평군,59835,47439,15036,12043,18318,326,204,151,298,46376,1063,12396
경기,가평군,41299,32966,10570,8699,12281,223,158,89,194,32214,752,8333
경기,이천시,115312,90750,27314,27099,33487,860,207,168,264,89399,1351,24562
경기,용인시,201487,159750,53141,57844,43985,1412,320,319,307,157328,2422,41737
경기,안성군,90028,72252,21908,24995,22558,716,210,204,269,70860,1392,17776
경기,김포군,86552,68245,23652,21792,20763,502,122,114,199,67144,1101,18307
강원,합계,1077853,846596,358921,197438,257140,8231,3201,1851,4161,830943,15653,231257
강원,춘천시갑,83323,65976,27986,16455,19147,701,205,154,247,64895,1081,17347
강원,춘천시을,85203,67938,29590,17143,18864,815,196,192,221,67021,917,17265
강원,원주시갑,87113,68853,27457,18471,20143,1163,177,115,203,67729,1124,18260
강원,원주시을,86507,69359,27052,18356,21152,864,232,139,289,68084,1275,17148
강원,강릉시갑,72956,56850,32166,10244,12431,581,171,88,239,55920,930,16106
강원,강릉시을,84314,65058,37339,12512,13008,624,167,70,241,63961,1097,19256
강원,동해시,71038,54599,28099,10581,14077,497,157,82,213,53706,893,16439
강원,태백시,41889,31858,14286,5469,10957,310,122,47,126,31317,541,10031
강원,정선군,38789,29501,10396,6148,11491,204,204,88,226,28757,744,9288
강원,속초시,58440,44517,19932,11287,12127,331,73,63,108,43921,596,13923
강원,고성군,27169,21557,8765,5265,6704,125,67,48,124,21098,459,5612
강원,양양군,22568,18249,7417,4567,5493,141,61,46,121,17846,403,4319
강원,인제군,23987,19084,6153,5515,6580,128,100,59,131,18666,418,4903
강원,삼척시,61247,48436,22997,8325,14859,376,196,107,363,47223,1213,12811
강원,홍천군,53657,42263,12731,10964,16593,293,262,139,319,41301,962,11394
강원,횡성군,34626,27682,7879,7203,11252,209,157,95,233,27028,654,6944
강원,영월군,36636,28505,9936,6065,11030,288,208,99,229,27855,650,8131
강원,평창군,35291,27280,10018,6098,9885,224,210,67,243,26745,535,8011
강원,화천군,18390,14778,4914,4039,5240,93,58,48,95,14487,291,3612
강원,철원군,37998,30709,9532,9092,11068,175,105,58,118,30148,561,7289
강원,양구군,16712,13544,4276,3639,5039,89,73,47,72,13235,309,3168
충북,합계,1015921,805496,243210,295666,232254,10232,2784,2313,3357,789816,15680,210425
충북,청주시상당구,153770,122815,42869,46796,29159,1646,215,200,242,121127,1688,30955
충북,청주시흥덕구,203292,160438,53820,61972,38769,2849,299,209,221,158139,2299,42854
충북,충주시,150460,118578,34755,38839,40391,1216,463,274,452,116390,2188,31882
충북,제천시,102100,80894,28782,20703,28088,917,329,200,364,79383,1511,21206
충북,단양군,30872,24421,7324,6143,9509,315,135,104,209,23739,682,6451
충북,청원군,87871,68803,16528,30125,18644,919,281,305,401,67203,1600,19068
충북,영동군,45157,36178,11542,11346,11216,421,218,162,301,35206,972,8979
충북,보은군,34372,27418,6351,11701,7914,193,126,145,184,26614,804,6954
충북,옥천군,46091,36709,7936,16175,10654,504,162,190,250,35871,838,9382
충북,음성군,61775,49389,12843,19248,15208,474,201,177,234,48385,1004,12386
충북,진천군,41806,33432,7774,14535,9497,333,126,126,180,32571,861,8374
충북,괴산군,58355,46421,12686,18083,13205,445,229,221,319,45188,1233,11934
충남,합계,1330627,1023990,235457,483093,261802,9604,3011,4109,4122,1001198,22792,306637
충남,천안시갑,127186,98573,30506,39659,24604,1101,221,299,245,96635,1938,28613
충남,천안시을,119913,94917,28130,37901,25560,1272,193,215,177,93448,1469,24996
충남,공주시,96516,74178,14620,34907,21282,564,287,352,347,72359,1819,22338
충남,보령시,85806,64595,12432,33907,15208,499,209,309,319,62883,1712,21211
충남,아산시,123007,93260,22589,44023,22066,1902,228,280,287,91375,1885,29747
충남,금산군,50213,37605,7153,17236,11180,247,173,270,306,36565,1040,12608
충남,연기군,57666,45080,9788,19889,13402,448,146,172,172,44017,1063,12586
충남,논산시,117711,92151,11721,40199,37023,521,283,268,280,90295,1856,25560
충남,부여군,71044,55001,6990,33053,12553,318,165,322,227,53628,1373,16043
충남,서천군,59539,45467,8991,23998,10358,294,140,202,245,44228,1239,14072
충남,홍성군,71207,54791,16104,25802,10420,385,146,234,292,53383,1408,16416
충남,청양군,32364,25037,5355,12221,6093,164,113,154,163,24263,774,7327
충남,예산군,77158,60161,25339,24774,7773,339,148,232,355,58960,1201,16997
충남,서산시,102317,78288,16125,41122,17760,850,212,346,242,76657,1631,24029
충남,태안군,49981,37234,6637,19103,9734,221,157,224,223,36299,935,12747
충남,당진군,88999,67652,12977,35299,16786,479,190,230,242,66203,1449,21347
전북,합계,1391537,1190190,53114,1078957,25037,4189,943,4981,1968,1169189,21001,201347
전북,전주시완산구,208533,180270,7823,165974,2870,666,73,304,108,177818,2452,28263
전북,전주시덕진구,179966,155782,6382,143578,2686,701,45,250,91,153733,2049,24184
전북,군산시갑,91191,77728,3968,69987,1989,212,44,204,116,76520,1208,13463
전북,군산시을,101649,86598,4998,77140,2635,316,34,191,91,85405,1193,15051
전북,익산시갑,102037,87981,3598,80855,1717,296,45,223,91,86825,1156,14056
전북,익산시을,121569,105086,4683,95155,2680,486,61,240,106,103411,1675,16483
전북,정읍시,107052,90585,3123,83031,1534,232,83,433,222,88658,1927,16467
전북,남원시,76061,65145,3323,58354,1299,130,74,442,157,63779,1366,10916
전북,김제시,90905,77046,3649,69454,1608,212,71,342,174,75510,1536,13859
전북,완주군,63103,53604,2478,47783,1322,345,76,347,101,52452,1152,9499
전북,진안군,27752,23255,1245,20310,652,68,28,276,91,22670,585,4497
전북,무주군,22974,19328,1262,16200,885,48,39,186,125,18745,583,3646
전북,장수군,22073,18833,818,16730,517,54,30,168,63,18380,453,3240
전북,임실군,31406,26570,1145,23486,691,90,59,331,94,25896,674,4836
전북,순창군,28441,24190,947,21762,405,63,42,242,82,23543,647,4251
전북,고창군,58032,49032,1659,44659,728,145,72,513,122,47898,1134,9000
