시도,구시군,선거인수,투표수,득표수_1_새누리당_박근혜,득표수_2_민주통합당_문재인,득표수_4_무소속_박종선,득표수_5_무소속_김소연,득표수_6_무소속_강지원,득표수_7_무소속_김순자,득표수_계,무효투표수,기권수
경기도,양주시,154363,111883,61889,49201,42,60,165,139,111496,387,42480
경기도,동두천시,77102,52984,31188,21296,25,27,92,65,52693,291,24118
경기도,안산시상록구,292424,211371,97913,112075,61,140,345,209,210743,628,81053
경기도,안산시단원구,256246,184903,87893,95849,48,104,308,168,184370,533,71343
경기도,고양시덕양구,310405,235041,114871,118515,63,120,477,227,234273,768,75364
경기도,고양시일산동구,219923,167095,80535,85504,41,104,336,127,166647,448,52828
경기도,고양시일산서구,220417,171813,81992,88785,41,87,342,148,171395,418,48604
경기도,과천시,55657,44853,22507,21923,10,37,165,46,44688,165,10804
경기도,의왕시,119634,94567,45541,48412,13,53,218,82,94319,248,25067
경기도,구리시,150179,113698,56748,56219,27,47,209,112,113362,336,36481
경기도,남양주시,454216,335323,171230,161920,85,142,524,323,334224,1099,118893
경기도,오산시,147979,106486,52301,53507,26,67,166,129,106196,290,41493
경기도,화성시,385169,288704,140538,146338,75,167,472,329,287919,785,96465
경기도,시흥시,301719,215665,102267,112012,69,102,360,217,215027,638,86054
경기도,군포시,222840,176080,80722,94255,44,100,336,156,175613,467,46760
경기도,하남시,118494,88508,47676,40221,23,22,154,90,88186,322,29986
경기도,파주시,302153,222553,114672,106323,68,114,348,326,221851,702,79600
경기도,여주군,87815,62882,40504,21766,27,45,101,166,62609,273,24933
경기도,이천시,157488,113269,66241,45996,55,63,190,171,112716,553,44219
경기도,용인시처인구,164566,118365,67598,49828,44,63,215,157,117905,460,46201
경기도,용인시수지구,244771,195876,101487,93337,39,72,402,125,195462,414,48895
경기도,용인시기흥구,277326,217011,104957,110907,28,82,421,155,216550,461,60315
경기도,안성시,142260,102464,57656,43967,35,52,183,172,102065,399,39796
경기도,김포시,218508,164872,88962,74859,41,68,298,156,164384,488,53636
경기도,광주시,214855,157795,84388,72299,45,67,214,163,157176,619,57060
경기도,포천시,126354,89172,56633,31751,40,40,141,181,88786,386,37182
경기도,연천군,37796,27716,17989,9359,23,20,73,73,27537,179,10080
경기도,양평군,84769,62448,40862,20857,39,51,125,190,62124,324,22321
경기도,가평군,50634,37316,24987,11696,56,38,98,143,37018,298,13318
강원도,합계,1235647,911988,562876,340870,356,524,1514,2114,908254,3734,323659
강원도,춘천시,215931,163981,93414,69365,60,104,276,245,163464,517,51950
강원도,원주시,251375,182937,105702,75943,55,110,280,282,182372,565,68438
강원도,강릉시,175077,129776,85045,43750,41,50,200,233,129319,457,45301
강원도,동해시,74573,55083,36139,18511,18,23,68,99,54858,225,19490
강원도,삼척시,60724,44452,28849,14874,32,72,80,216,44123,329,16272
강원도,태백시,40408,28993,18850,9935,10,11,34,51,28891,102,11415
강원도,정선군,33781,24116,15188,8610,11,6,45,126,23986,130,9665
강원도,속초시,66297,47634,29651,17671,16,19,66,61,47484,150,18663
강원도,고성군,25669,19177,12689,6285,11,9,44,49,19087,90,6492
강원도,양양군,23584,18055,12007,5869,9,7,19,45,17956,99,5529
강원도,인제군,26234,19762,12156,7320,11,11,38,93,19629,133,6472
강원도,홍천군,57463,42406,26715,15201,18,20,75,141,42170,236,15057
강원도,횡성군,37340,27723,17876,9502,13,19,50,116,27576,147,9617
강원도,영월군,33827,24853,15515,9021,12,16,55,110,24729,124,8974
강원도,평창군,36478,26084,16406,9381,6,8,53,100,25954,130,10394
강원도,화천군,20345,15228,9838,5139,20,11,45,49,15102,126,5117
강원도,양구군,18033,13665,8547,4957,3,13,33,41,13594,71,4368
강원도,철원군,38508,28063,18289,9536,10,15,53,57,27960,103,10445
충청북도,합계,1234832,925778,518442,398907,410,542,1511,2241,922053,3725,309054
충청북도,청주시상당구,185497,141798,76695,64194,49,71,173,168,141350,448,43699
충청북도,청주시흥덕구,322399,245334,124308,119523,90,129,348,297,244695,639,77065
충청북도,충주시,166618,122824,73561,48264,45,70,212,273,122425,399,43794
충청북도,제천시,110855,82747,50284,31682,32,42,151,195,82386,361,28108
충청북도,단양군,26486,19763,12957,6510,12,8,51,105,19643,120,6723
충청북도,청원군,121564,91243,46968,43359,43,52,149,262,90833,410,30321
충청북도,영동군,42754,32044,20397,11169,20,35,57,156,31834,210,10710
충청북도,보은군,29519,22431,13783,8261,17,13,56,129,22259,172,7088
충청북도,옥천군,44412,34030,21799,11691,21,36,64,189,33800,230,10382
충청북도,음성군,74727,52943,30459,21825,40,34,108,160,52626,317,21784
충청북도,진천군,50295,36543,20614,15560,18,25,59,106,36382,161,13752
충청북도,괴산군,32990,24502,15442,8646,16,18,61,147,24330,172,8488
충청북도,증평군,26716,19576,11175,8223,7,9,22,54,19490,86,7140
충청남도,합계,1601751,1168095,658928,497630,516,688,1976,3198,1162936,5159,433656
충청남도,천안시서북구,242354,176358,87555,87706,53,97,255,198,175864,494,65996
충청남도,천안시동남구,199108,144876,78289,65604,47,49,213,247,144449,427,54232
충청남도,공주시,96127,70778,39883,30141,39,30,109,218,70420,358,25349
충청남도,보령시,86140,62879,38636,23493,33,34,108,233,62537,342,23261
충청남도,아산시,212382,154698,81388,72189,51,101,232,237,154198,500,57684
충청남도,서산시,126399,92671,53072,38595,40,74,160,281,92222,449,33728
충청남도,태안군,52880,38078,24128,13435,19,31,52,197,37862,216,14802
충청남도,금산군,46588,33723,20470,12762,15,21,75,182,33525,198,12865
충청남도,논산시,103822,74521,39225,34402,51,41,147,236,74102,419,29301
충청남도,계룡시,29932,23661,13572,9934,4,15,48,28,23601,60,6271
충청남도,당진시,122452,87103,50429,35909,33,64,130,211,86776,327,35349
충청남도,부여군,61804,46080,28725,16461,55,52,130,209,45632,448,15724
충청남도,서천군,50228,36354,20671,15102,20,25,83,190,36091,263,13874
충청남도,홍성군,71995,52297,32170,19514,20,24,92,228,52048,249,19698
충청남도,청양군,27566,20849,13490,6989,17,15,54,137,20702,147,6717
충청남도,예산군,71974,53169,37225,15394,19,15,88,166,52907,262,18805
전라북도,합계,1483402,1142133,150315,980322,480,702,3066,1690,1136575,5558,341269
전라북도,전주시완산구,278250,222304,27095,193995,48,116,362,116,221732,572,55946
전라북도,전주시덕진구,217955,172431,20283,151196,39,117,268,108,172011,420,45524
전라북도,군산시,218605,164176,24862,138173,57,68,312,162,163634,542,54429
전라북도,익산시,240817,182350,24639,156065,99,82,304,189,181378,972,58467
전라북도,정읍시,96742,73237,8479,63828,26,33,252,153,72771,466,23505
전라북도,남원시,70067,54221,6583,46681,57,54,205,138,53718,503,15846
전라북도,김제시,77521,58323,8185,49430,32,25,161,106,57939,384,19198
전라북도,완주군,68634,53018,6926,45422,15,68,175,118,52724,294,15616
전라북도,진안군,22860,17388,2764,14262,11,15,105,80,17237,151,5472
전라북도,무주군,21335,16095,3470,12290,13,10,90,73,15946,149,5240
전라북도,장수군,19525,15113,2236,12567,6,19,82,64,14974,139,4412
전라북도,임실군,25881,19695,2386,16884,14,12,140,83,19519,176,6186
전라북도,순창군,25003,19314,2093,16797,10,27,124,69,19120,194,5689
전라북도,고창군,50439,37846,4328,32729,23,31,309,122,37542,304,12593
전라북도,부안군,49768,36622,5986,30003,30,25,177,109,36330,292,13146
전라남도,합계,1530012,1171210,116296,1038347,732,759,4338,2487,1162959,8251,358802
전라남도,목포시,186587,141368,11971,128448,22,75,242,145,140903,465,45219
전라남도,여수시,230407,177249,15662,159415,119,109,392,250,175947,1302,53158
전라남도,순천시,208794,165404,14638,149610,49,61,269,146,164773,631,43390
전라남도,나주시,74091,57053,4984,51150,62,41,242,159,56638,415,17038
전라남도,광양시,112866,88097,12918,74467,24,28,197,98,87732,365,24769
전라남도,담양군,40636,31746,3084,28099,19,27,192,81,31502,244,8890
전라남도,장성군,38697,29591,3532,25567,22,25,147,81,29374,217,9106
전라남도,곡성군,26346,20504,2255,17810,14,10,127,85,20301,203,5842
전라남도,구례군,22950,17833,2230,15328,13,11,59,47,17688,145,5117
전라남도,고흥군,62117,47363,5193,41139,29,31,284,171,46847,516,14754
전라남도,보성군,40159,30149,3470,26054,31,22,163,107,29847,302,10010
전라남도,화순군,54652,42352,3685,37716,64,30,241,118,41854,498,12300
전라남도,장흥군,35194,26817,2808,23468,21,18,175,82,26572,245,8377
전라남도,강진군,33287,24779,3023,21316,25,16,108,60,24548,231,8508
전라남도,완도군,45129,34116,3152,30236,9,26,213,108,33744,372,11013
전라남도,해남군,65070,47639,4747,41882,55,45,240,130,47099,540,17431
전라남도,진도군,27978,20598,2073,18052,14,17,134,97,20387,211,7380
전라남도,영암군,48344,36081,3965,31577,28,24,107,86,35787,294,12263
전라남도,무안군,60244,46788,4230,41849,42,58,167,123,46469,319,13456
전라남도,영광군,47115,35294,3768,30835,23,23,297,120,35066,228,11821
전라남도,함평군,30688,23428,1958,20984,19,21,145,88,23215,213,7260
전라남도,신안군,38661,26961,2950,23345,28,41,197,105,26666,295,11700
경상북도,합계,2185987,1710122,1375164,316659,810,873,2119,5886,1701511,8611,475865
경상북도,포항시북구,211828,166166,131547,33470,48,54,177,302,165598,568,45662
경상북도,포항시남구,200720,155131,121186,32833,43,52,193,293,154600,531,45589
경상북도,울릉군,9468,6309,5033,1207,2,2,7,21,6272,37,3159
경상북도,경주시,214748,168542,132579,34357,59,99,230,435,167759,783,46206
경상북도,김천시,111030,88157,73115,14072,30,41,96,299,87653,504,22873
경상북도,안동시,136671,107233,84799,21028,67,55,156,486,106591,642,29438
경상북도,구미시,312994,245844,197062,47485,52,104,185,372,245260,584,67150
경상북도,영주시,92433,72614,56360,15493,32,33,88,269,72275,339,19819
경상북도,영천시,86316,66924,54748,11372,27,28,80,228,66483,441,19392
