시도,구시군,선거인수,투표수,보수정당,진보정당,그외정당,무소속,득표수_계,무효투표수,기권수
서울특별시,합계,8380947,5019098,1158487,2619497,1183888,0,4961872,57226,3361849
서울특별시,종로구,134963,81195,18777,41148,20166,0,80091,1104,53768
서울특별시,중구,112336,66474,15618,34243,15630,0,65491,983,45862
서울특별시,용산구,200009,116054,31073,53964,29625,0,114662,1392,83955
서울특별시,성동구,264634,157863,34878,84106,36882,0,155866,1997,106771
서울특별시,광진구,308174,180373,38606,99366,40396,0,178368,2005,127801
서울특별시,동대문구,302939,178077,40984,93913,40826,0,175723,2354,124862
서울특별시,중랑구,352041,198943,45905,109318,40987,0,196210,2733,153098
서울특별시,성북구,373174,222184,47274,119898,52329,0,219501,2683,150990
서울특별시,강북구,280860,156279,33537,85839,34605,0,153981,2298,124581
서울특별시,도봉구,292696,173751,39099,92172,40338,0,171609,2142,118945
서울특별시,노원구,456370,283039,54461,150657,74460,0,279578,3461,173331
서울특별시,은평구,413112,238193,49071,131287,55013,0,235371,2822,174919
서울특별시,서대문구,269182,163969,34514,87486,39842,0,161842,2127,105213
서울특별시,마포구,320091,197264,40249,105956,49056,0,195261,2003,122827
서울특별시,양천구,383104,238559,53780,125557,56754,0,236091,2468,144545
서울특별시,강서구,509021,303651,64676,168733,67000,0,300409,3242,205370
서울특별시,구로구,351457,211169,48981,113799,45983,0,208763,2406,140288
서울특별시,금천구,206762,116953,25156,64662,25517,0,115335,1618,89809
서울특별시,영등포구,325036,195840,46666,100899,46078,0,193643,2197,129196
서울특별시,동작구,340489,213232,46094,114563,50275,0,210932,2300,127257
서울특별시,관악구,449742,265465,47686,152069,62339,0,262094,3371,184277
서울특별시,서초구,359734,226905,69910,96452,58650,0,225012,1893,132829
서울특별시,강남구,454862,266153,87305,107743,68890,0,263938,2215,188709
서울특별시,송파구,554983,348956,90144,171592,84083,0,345819,3137,206027
서울특별시,강동구,365176,218557,54043,114075,48164,0,216282,2275,146619
