시도,구시군,선거인수,투표수,득표수_1_더불어민주당_이재명,득표수_2_국민의힘_김문수,득표수_4_개혁신당_이준석,득표수_5_민주노동당_권영국,득표수_8_무소속_송진호,득표수_계,무효투표수,기권수
울산광역시,남구,263759,211142,81512,106707,18960,2185,220,209584,1558,52617
울산광역시,동구,126811,100387,47822,41934,8034,1670,123,99583,804,26424
울산광역시,북구,176478,143084,69055,57703,12795,2266,178,141997,1087,33394
울산광역시,울주군,189461,150104,60688,74391,12086,1594,205,148964,1140,39357
세종특별자치시,합계,307067,254695,140620,83965,25004,2961,235,252785,1910,52372
세종특별자치시,세종특별자치시,307067,254695,140620,83965,25004,2961,235,252785,1910,52372
경기도,합계,11715343,9297448,4821148,3504620,816435,84074,8356,9234633,62815,2417895
경기도,수원시장안구,238889,193748,98188,72781,19284,1877,198,192328,1420,45141
경기도,수원시권선구,313951,246530,127809,91049,23247,2357,221,244683,1847,67421
경기도,수원시팔달구,172558,133880,64971,52733,13752,1241,149,132846,1034,38678
경기도,수원시영통구,301242,250748,122204,92635,31281,2553,216,248889,1859,50494
경기도,성남시수정구,208154,166071,89700,59467,14371,1277,116,164931,1140,42083
경기도,성남시중원구,184068,146706,83821,49360,11240,1118,138,145677,1029,37362
경기도,성남시분당구,397014,332152,146248,147997,32522,3090,216,330073,2079,64862
경기도,의정부시,402095,310907,167551,113085,24918,2881,294,308729,2178,91188
경기도,안양시만안구,208500,168381,86561,64294,14671,1491,134,167151,1230,40119
경기도,안양시동안구,279415,235876,118064,90041,23637,2304,189,234235,1641,43539
경기도,부천시원미구,341688,273444,145748,99296,23394,2784,240,271462,1982,68244
경기도,부천시소사구,197016,159574,86560,58163,11989,1619,139,158470,1104,37442
경기도,부천시오정구,136399,104812,59047,36313,7710,955,132,104157,655,31587
경기도,광명시,244138,203585,107527,74375,18088,2116,160,202266,1319,40553
경기도,평택시,506849,381944,193007,147716,34980,3186,387,379276,2668,124905
경기도,양주시,245241,188275,101884,68936,14502,1443,199,186964,1311,56966
경기도,동두천시,76927,56479,28433,23681,3515,397,71,56097,382,20448
경기도,안산시상록구,287897,219638,120273,76645,18829,2022,264,218033,1605,68259
경기도,안산시단원구,255796,197056,107188,68865,17464,1837,263,195617,1439,58740
경기도,고양시덕양구,424683,341499,183659,122394,28962,3898,280,339193,2306,83184
경기도,고양시일산동구,255448,201343,103306,77368,17098,2020,150,199942,1401,54105
경기도,고양시일산서구,243541,196109,101911,74746,16030,2030,156,194873,1236,47432
경기도,과천시,68790,58928,24871,26993,5843,779,46,58532,396,9862
경기도,의왕시,133116,111014,55305,43930,9920,1061,104,110320,694,22102
경기도,구리시,162776,130757,66685,50865,11064,1166,96,129876,881,32019
경기도,남양주시,617951,484777,261539,179144,36668,4038,414,481803,2974,133174
경기도,오산시,205448,155805,84959,53092,15019,1444,168,154682,1123,49643
경기도,화성시갑,443085,343800,183357,122959,31998,2856,335,341505,2295,99285
경기도,화성시을,347519,289895,151555,93407,40321,2606,184,288073,1822,57624
경기도,시흥시,433899,340271,193157,112317,29223,2950,337,337984,2287,93628
경기도,군포시,222936,182598,95725,67312,16293,1823,156,181309,1289,40338
경기도,하남시,272865,221808,111702,87145,19452,1927,156,220382,1426,51057
경기도,파주시,433087,336478,184505,120301,26026,3131,282,334245,2233,96609
경기도,여주시,101401,77007,34563,36480,4719,624,89,76475,532,24394
경기도,이천시,191335,145722,69247,61729,12272,1175,194,144617,1105,45613
경기도,용인시처인구,241014,185635,94272,72736,15623,1520,227,184378,1257,55379
경기도,용인시수지구,309712,259590,123133,107662,24709,2398,163,258065,1525,50122
경기도,용인시기흥구,366811,300822,151811,117427,27002,2557,200,298997,1825,65989
경기도,안성시,170398,128072,64519,51929,9541,1006,138,127133,939,42326
경기도,김포시,398834,315636,167675,117969,25186,2614,278,313722,1914,83198
경기도,광주시,339630,263384,144804,96824,18138,1904,206,261876,1508,76246
경기도,포천시,127307,95668,45328,42497,6300,665,110,94900,768,31639
경기도,연천군,36974,28660,12152,13973,2011,237,37,28410,250,8314
경기도,양평군,112680,88712,38679,43611,5004,768,79,88141,571,23968
경기도,가평군,56266,43652,17945,22378,2619,329,45,43316,336,12614
강원특별자치도,합계,1327019,1029407,449161,483360,78704,9422,1137,1021784,7623,297612
강원특별자치도,춘천시,247155,194624,89204,83911,17805,2146,187,193253,1371,52531
강원특별자치도,원주시,309973,238713,113158,100988,20200,2427,253,237026,1687,71260
강원특별자치도,강릉시,183191,139882,57546,69408,10578,1236,142,138910,972,43309
강원특별자치도,동해시,75688,57784,24197,28536,4072,494,83,57382,402,17904
강원특별자치도,삼척시,55205,43735,16959,23059,2961,370,45,43394,341,11470
강원특별자치도,태백시,33422,25989,10894,13277,1430,192,20,25813,176,7433
강원특별자치도,정선군,30577,24019,10241,12195,1219,155,29,23839,180,6558
강원특별자치도,속초시,70334,52747,23389,24910,3598,470,51,52418,329,17587
강원특별자치도,고성군,24393,19289,7890,9835,1237,143,22,19127,162,5104
강원특별자치도,양양군,24980,19670,8061,10304,1017,140,12,19534,136,5310
강원특별자치도,인제군,27383,21666,9136,10099,1964,185,45,21429,237,5717
강원특별자치도,홍천군,59907,46624,19301,23549,2962,335,59,46206,418,13283
강원특별자치도,횡성군,41725,32863,13347,17208,1769,237,36,32597,266,8862
강원특별자치도,영월군,33250,26302,11089,13400,1395,187,37,26108,194,6948
강원특별자치도,평창군,36753,28718,11594,14937,1728,224,27,28510,208,8035
강원특별자치도,화천군,20014,15736,6260,7734,1401,157,27,15579,157,4278
강원특별자치도,양구군,17713,13999,5706,6778,1240,119,22,13865,134,3714
강원특별자치도,철원군,35356,27047,11189,13232,2128,205,40,26794,253,8309
충청북도,합계,1379142,1065558,501990,457065,86984,10169,1228,1057436,8122,313584
충청북도,청주시상당구,167297,130134,63093,53983,10648,1360,132,129216,918,37163
충청북도,청주시서원구,158412,123534,58100,51715,11315,1363,130,122623,911,34878
충청북도,청주시흥덕구,242536,186815,91724,72187,19240,1959,211,185321,1494,55721
충청북도,청주시청원구,158716,122262,61240,47301,11453,1223,144,121361,901,36454
