시도,구시군,선거인수,투표수,득표수_1_민주자유당_김영삼,득표수_2_민주당_김대중,득표수_3_통일국민당_정주영,득표수_4_새한국당_이종찬,득표수_5_신정치개혁당_박찬종,득표수_6_대한정의당_이병호,득표수_7_무소속_김옥선,득표수_8_무소속_백기완,득표수_계,무효투표수,기권수
대구,서구을,113402,90878,54552,7010,16809,0,9855,118,270,958,89572,1306,22524
대구,남구,167138,134882,79591,10363,25465,0,15905,103,251,1565,133243,1639,32256
대구,북구,208059,166394,99721,12637,30339,0,19013,173,427,1876,164186,2208,41665
대구,수성구갑,129286,104935,61169,7836,20923,0,12447,78,206,1134,103793,1142,24351
대구,수성구을,131555,107407,64513,8102,20619,0,11746,82,186,1123,106371,1036,24148
대구,달서구갑,125238,100253,58654,7657,19477,0,11832,105,245,987,98957,1296,24985
대구,달서구을,126670,101357,59985,7820,19829,0,11290,92,196,925,100137,1220,25313
인천,합계,1321616,1081011,397361,338538,228505,0,84211,1351,3867,12455,1066288,14723,240605
인천,중구,54864,45027,20657,10549,9191,0,3293,57,131,543,44421,606,9837
인천,동구,76732,64421,26045,17906,13269,0,4828,110,295,942,63395,1026,12311
인천,남구갑,175797,146085,55932,41522,32341,0,11903,167,470,1776,144111,1974,29712
인천,남구을,154479,127310,51019,34247,27315,0,10642,154,451,1612,125440,1870,27169
인천,남동구,234360,193202,70782,57867,43459,0,15558,238,685,2150,190739,2463,41158
인천,북구갑,219276,177489,62056,62188,34893,0,13128,237,613,2093,175208,2281,41787
인천,북구을,241970,193863,64329,70436,38744,0,14917,238,698,1867,191229,2634,48107
인천,서구,164138,133614,46541,43823,29293,0,9942,150,524,1472,131745,1869,30524
광주,합계,745270,685797,14504,652337,8085,0,2827,133,1149,1565,680600,5197,59473
광주,동구,109408,100540,2323,95347,1335,0,392,18,164,275,99854,686,8868
광주,서구갑,121785,112162,2610,106354,1479,0,531,22,138,238,111372,790,9623
광주,서구을,156270,143591,2803,136988,1651,0,541,21,190,290,142484,1107,12679
광주,북구갑,116010,107166,2155,102160,1151,0,422,24,173,271,106356,810,8844
광주,북구을,129555,119074,2245,113842,1285,0,442,17,153,252,118236,838,10481
광주,광산구,112242,103264,2368,97646,1184,0,499,31,331,239,102298,966,8978
대전,합계,705227,582613,202137,165067,133646,0,64526,961,2294,5772,574403,8210,122614
대전,동구갑,113139,93535,32795,26253,21332,0,10116,146,391,997,92030,1505,19604
대전,동구을,84093,69301,23708,20382,15566,0,7587,108,256,695,68302,999,14792
대전,중구,186049,153487,53310,42519,36536,0,16869,237,550,1479,151500,1987,32562
대전,서구,163116,136599,47527,38846,30648,0,15852,199,524,1249,134845,1754,26517
대전,유성구,43899,35497,12073,9988,8202,0,3852,112,212,399,34838,659,8402
대전,대덕구,114931,94194,32724,27079,21362,0,10250,159,361,953,92888,1306,20737
경기,합계,4270726,3502774,1254025,1103498,798356,0,239140,6299,13685,36392,3451395,51379,767952
경기,수원시권선구갑,123870,100058,33307,30661,24892,0,8059,145,420,1121,98605,1453,23812
경기,수원시권선구을,107561,86877,31000,24179,22028,0,7477,87,309,795,85875,1002,20684
경기,수원시장안구,209567,171635,60555,49140,42572,0,14138,213,567,1812,168997,2638,37932
경기,성남시수정구,178863,149201,45415,64714,25866,0,9230,168,533,1394,147320,1881,29662
경기,성남시중원구,176953,146577,44971,62339,26657,0,8550,161,485,1336,144499,2078,30376
