시도,구시군,선거인수,투표수,득표수_1_민주자유당_김영삼,득표수_2_민주당_김대중,득표수_3_통일국민당_정주영,득표수_4_새한국당_이종찬,득표수_5_신정치개혁당_박찬종,득표수_6_대한정의당_이병호,득표수_7_무소속_김옥선,득표수_8_무소속_백기완,득표수_계,무효투표수,기권수
경남,울산군,96149,80934,50678,8146,14181,0,5766,135,257,792,79955,979,15215
경남,장승포시,29901,27045,19311,4692,842,0,1463,5,53,506,26872,173,2856
경남,거제군,57708,54440,48626,2559,1052,0,1077,17,72,350,53753,687,3268
경남,하동군,46049,40298,31025,3928,2438,0,1491,73,168,427,39550,748,5751
경남,남해군,49371,43316,32664,2586,4431,0,2204,75,164,414,42538,778,6055
경남,함양군,36250,32489,23487,2624,3615,0,1391,75,177,480,31849,640,3761
경남,산청군,34306,30426,23636,2425,2102,0,1138,58,135,383,29877,549,3880
경남,거창군,50347,44674,32788,3595,4900,0,1847,78,219,541,43968,706,5673
경남,합천군,51680,45048,31596,2782,6567,0,2361,127,189,573,44195,853,6632
제주,합계,319824,265252,104292,85889,42130,0,23077,563,1286,3647,260884,4368,54572
제주,제주시,146005,120565,45617,39122,19696,0,12392,162,396,1621,119006,1559,25440
제주,북제주군,66346,54713,23957,15726,7803,0,4650,173,382,847,53538,1175,11633
제주,서귀포시,53574,44840,16042,16955,7228,0,3051,105,233,535,44149,691,8734
제주,남제주군,53899,45134,18676,14086,7403,0,2984,123,275,644,44191,943,8765
