시도,구시군,선거인수,투표수,득표수_1_더불어민주당_문재인,득표수_2_자유한국당_홍준표,득표수_3_국민의당_안철수,득표수_4_바른정당_유승민,득표수_5_정의당_심상정,득표수_6_새누리당_조원진,득표수_7_경제애국당_오영국,득표수_8_국민대통합당_장성민,득표수_9_늘푸른한국당_이재오,득표수_10_민중연합당_김선동,득표수_12_한국국민당_이경희,득표수_14_홍익당_윤홍식,득표수_15_무소속_김민찬,득표수_계,무효투표수,기권수
경상남도,합계,2744633,2135055,779731,790491,284272,142479,113051,2290,458,1240,721,1394,1011,2234,3267,2122639,12416,609578
경상남도,창원시의창구,207375,164047,60757,56887,22830,12134,9772,196,31,102,44,118,51,77,224,163223,824,43328
경상남도,창원시성산구,183547,153327,63717,42052,22923,12512,10826,152,17,55,31,116,41,49,156,152647,680,30220
경상남도,창원시마산합포구,153651,119281,35592,54488,14686,7491,5887,112,18,58,46,50,28,63,160,118679,602,34370
경상남도,창원시마산회원구,172306,136757,45014,56340,17744,9228,7132,127,23,73,45,67,42,67,190,136092,665,35549
경상남도,창원시진해구,146938,114779,41249,40049,17435,8732,6186,108,17,73,38,53,31,63,181,114215,564,32159
경상남도,진주시,281105,222813,73929,93751,26687,14735,11243,212,44,111,92,182,83,240,308,221617,1196,58292
경상남도,통영시,111279,82855,25477,36128,10738,5332,4075,104,25,59,26,42,55,134,142,82337,518,28424
경상남도,고성군,47369,34603,9848,16797,4104,1828,1459,51,13,19,13,21,39,75,71,34338,265,12766
경상남도,사천시,94377,71555,22370,32475,8350,4135,3267,62,15,34,21,56,48,110,123,71066,489,22822
경상남도,김해시,414018,318253,147972,82880,45126,21936,17441,291,52,158,79,157,83,123,387,316685,1568,95765
경상남도,밀양시,93568,70687,20842,32394,9073,4441,2940,116,16,41,26,47,53,111,102,70202,485,22881
경상남도,거제시,196936,150230,68291,38775,20359,10941,10256,167,28,85,46,83,49,102,212,149394,836,46706
경상남도,의령군,25302,19258,5115,10134,1984,820,690,29,5,24,8,21,42,97,75,19044,214,6044
경상남도,함안군,57493,43866,13597,19809,5399,2452,1986,43,17,18,18,34,31,65,86,43555,311,13627
경상남도,창녕군,55896,42878,10310,24464,3877,2013,1408,47,11,17,22,31,38,113,99,42450,428,13018
경상남도,양산시,256724,199835,83412,58811,30945,14055,10705,212,41,132,46,130,48,104,240,198881,954,56889
경상남도,하동군,43206,34324,11211,14864,4150,1792,1489,57,17,38,32,42,48,113,114,33967,357,8882
경상남도,남해군,40197,30208,8680,14166,3906,1627,1248,36,13,27,15,20,35,68,87,29928,280,9989
경상남도,함양군,34899,26640,7388,13008,3203,1315,1118,44,14,32,16,27,27,111,61,26364,276,8259
경상남도,산청군,32215,24513,6561,12544,2753,1196,935,41,6,21,19,21,34,91,73,24295,218,7702
경상남도,거창군,53345,41325,11256,19976,4923,2447,1923,46,12,37,22,48,54,105,100,40949,376,12020
경상남도,합천군,42887,33021,7143,19699,3077,1317,1065,37,23,26,16,28,51,153,76,32711,310,9866
제주특별자치도,합계,518000,374459,169493,68063,77861,22784,31716,385,269,312,113,335,236,289,556,372412,2047,143541
제주특별자치도,제주시,375292,273163,125717,48027,55971,16885,23592,270,96,193,73,257,153,178,368,271780,1383,102129
제주특별자치도,서귀포시,142708,101296,43776,20036,21890,5899,8124,115,173,119,40,78,83,111,188,100632,664,41412
