시도,구시군,선거인수,투표수,득표수_1_더불어민주당_문재인,득표수_2_자유한국당_홍준표,득표수_3_국민의당_안철수,득표수_4_바른정당_유승민,득표수_5_정의당_심상정,득표수_6_새누리당_조원진,득표수_7_경제애국당_오영국,득표수_8_국민대통합당_장성민,득표수_9_늘푸른한국당_이재오,득표수_10_민중연합당_김선동,득표수_12_한국국민당_이경희,득표수_14_홍익당_윤홍식,득표수_15_무소속_김민찬,득표수_계,무효투표수,기권수
대구광역시,달성군,179372,137920,31753,60032,21427,15964,7287,242,34,48,40,80,46,118,194,137265,655,41452
인천광역시,합계,2409031,1820091,747090,379191,428888,118691,129925,2646,374,1618,410,1230,594,625,1681,1812963,7128,588940
인천광역시,중구,94392,69220,28030,16139,15405,4196,4837,122,14,59,22,54,19,27,64,68988,232,25172
인천광역시,동구,59362,44672,16501,11446,10479,2484,3296,64,21,42,10,42,19,28,43,44475,197,14690
인천광역시,남구,352503,254020,96338,60603,61034,15593,18179,373,57,254,44,142,82,93,221,253013,1007,98483
인천광역시,연수구,262343,208175,85853,41920,48166,15928,14622,303,32,231,40,105,55,67,137,207459,716,54168
인천광역시,남동구,430938,327425,136132,66178,77693,21335,23230,470,59,267,80,251,97,89,322,326203,1222,103513
인천광역시,부평구,455450,345398,146859,66560,82590,21769,24630,501,72,263,64,222,107,103,325,344065,1333,110052
인천광역시,계양구,271262,205824,88890,37234,48622,13418,15790,270,39,188,41,193,73,57,203,205018,806,65438
인천광역시,서구,404034,306672,132399,56236,72248,20860,22418,423,64,238,76,177,86,80,264,305569,1103,97362
인천광역시,강화군,59875,43938,12153,17041,9559,2233,2267,97,11,58,22,27,33,53,57,43611,327,15937
인천광역시,옹진군,18872,14747,3935,5834,3092,875,656,23,5,18,11,17,23,28,45,14562,185,4125
광주광역시,합계,1166901,957321,583847,14882,287222,20862,43719,152,111,655,103,2265,136,264,614,954832,2489,209580
광주광역시,동구,83378,66287,37053,1308,23438,1372,2665,13,5,45,10,115,13,19,47,66103,184,17091
광주광역시,서구,247595,204787,124183,3182,62218,4627,9247,20,17,198,32,450,20,45,116,204355,432,42808
광주광역시,남구,177247,146037,85642,2521,47663,3085,6013,38,19,142,12,296,21,56,89,145597,440,31210
광주광역시,북구,356097,292001,177850,4241,88501,6274,13206,48,24,157,23,622,31,87,172,291236,765,64096
광주광역시,광산구,302584,248209,159119,3630,65402,5504,12588,33,46,113,26,782,51,57,190,247541,668,54375
대전광역시,합계,1220602,945897,404545,191376,218769,59820,63669,1069,168,620,234,611,256,406,758,942301,3596,274705
대전광역시,동구,194189,143823,57580,33015,34729,7746,9376,162,42,126,44,91,43,75,155,143184,639,50366
대전광역시,중구,208017,157397,62115,37657,37504,8885,9795,239,34,119,54,100,51,78,134,156765,632,50620
대전광역시,서구,394539,307774,133604,59593,70732,20091,21396,317,48,175,59,216,69,124,230,306654,1120,86765
대전광역시,유성구,266632,218087,103313,35445,47081,16145,14723,209,20,98,33,114,47,78,118,217424,663,48545
대전광역시,대덕구,157225,118816,47933,25666,28723,6953,8379,142,24,102,44,90,46,51,121,118274,542,38409
울산광역시,합계,941093,744960,282794,203602,128520,60289,62187,829,128,575,240,641,220,411,926,741362,3598,196133
울산광역시,중구,198415,157051,56657,47625,26458,12399,12307,183,21,130,53,115,52,95,161,156256,795,41364
울산광역시,남구,276867,219569,80662,63331,39040,18536,16078,259,29,128,66,146,36,103,237,218651,918,57298
울산광역시,동구,138379,109054,44931,23701,19290,8337,11590,78,17,105,39,139,36,48,160,108471,583,29325
울산광역시,북구,151453,122933,52058,26596,20115,10004,12916,146,20,85,31,137,48,58,164,122378,555,28520
울산광역시,울주군,175979,136353,48486,42349,23617,11013,9296,163,41,127,51,104,48,107,204,135606,747,39626
세종특별자치시,합계,189421,152801,77767,23211,32010,9192,9353,153,34,88,42,126,50,76,135,152237,564,36620
세종특별자치시,세종특별자치시,189421,152801,77767,23211,32010,9192,9353,153,34,88,42,126,50,76,135,152237,564,36620
경기도,합계,10262309,7916009,3319812,1637345,1807308,540023,546373,10778,1302,5058,1858,6139,2213,2883,6553,7887645,28364,2346300
경기도,수원시장안구,239609,190917,81392,37143,43344,13774,13660,245,33,136,43,180,43,69,149,190211,706,48692
경기도,수원시권선구,290343,222078,95263,42801,51061,15482,15573,273,43,175,60,195,69,77,206,221278,800,68265
경기도,수원시팔달구,167122,123458,49814,27782,28228,8218,8315,172,20,94,27,105,36,53,109,122973,485,43664
경기도,수원시영통구,264002,220307,105181,33354,46872,18468,15086,228,23,92,26,117,24,54,124,219649,658,43695
경기도,성남시수정구,201105,149414,63867,28395,36752,9315,9649,201,27,120,22,253,48,64,129,148842,572,51691
경기도,성남시중원구,198663,146801,62729,27896,36512,8502,9599,211,36,116,29,355,42,63,142,146232,569,51862
경기도,성남시분당구,403060,338076,139853,71332,74040,30351,20415,544,22,96,53,206,35,99,143,337189,887,64984
경기도,의정부시,360255,270404,110580,57027,65003,17254,18284,422,31,155,63,214,81,122,238,269474,930,89851
경기도,안양시만안구,215032,167995,70454,35189,38671,10990,11275,257,23,149,32,109,59,55,129,167392,603,47037
경기도,안양시동안구,277376,230674,101278,43072,51966,17577,15294,298,26,129,30,110,48,51,112,229991,683,46702
경기도,부천시,705885,543777,239697,100544,128297,34085,36775,706,94,365,126,395,149,192,417,541842,1935,162108
경기도,광명시,271716,218795,97959,39081,51958,13835,14345,294,32,139,49,142,45,66,162,218107,688,52921
경기도,평택시,379547,273677,104574,62827,64057,19321,20128,344,62,225,69,358,118,97,338,272518,1159,105870
경기도,양주시,164908,121344,46286,29739,28469,7602,7921,164,34,97,50,105,51,56,158,120732,612,43564
경기도,동두천시,80335,55487,19444,15733,12808,3201,3662,86,11,50,18,51,21,34,74,55193,294,24848
경기도,안산시상록구,305169,226266,98564,39723,55067,14307,16558,272,49,206,51,169,83,75,215,225339,927,78903
경기도,안산시단원구,252848,187253,80771,33862,45779,11938,13251,206,31,149,48,137,76,68,192,186508,745,65595
경기도,고양시덕양구,366265,287087,120063,55157,61581,18038,30094,409,37,143,134,194,66,87,172,286175,912,79178
경기도,고양시일산동구,239470,188297,81622,34980,41166,13989,15308,268,26,87,43,86,24,54,105,187758,539,51173
경기도,고양시일산서구,239069,192610,85919,35147,41563,13991,14764,265,23,80,42,88,23,57,105,192067,543,46459
경기도,과천시,49206,40789,16528,9055,8736,3354,2814,72,8,14,7,17,9,19,29,40662,127,8417
경기도,의왕시,127577,103913,43869,21218,23602,7575,6902,139,13,54,17,57,18,32,66,103562,351,23664
경기도,구리시,159142,123469,51181,26113,28698,8167,8386,162,14,52,18,85,31,50,82,123039,430,35673
경기도,남양주시,524245,397972,165079,86026,92048,25471,26319,584,67,213,73,210,102,139,306,396637,1335,126273
경기도,오산시,161182,118683,52358,21829,27201,7893,8415,117,19,66,36,82,30,35,120,118201,482,42499
경기도,화성시,493782,386002,176940,69014,84967,26194,25910,401,58,284,81,267,118,141,345,384720,1282,107780
경기도,시흥시,322806,239227,103732,43248,58119,14846,17127,301,56,208,58,235,79,80,243,238332,895,83579
경기도,군포시,228831,186084,82551,34784,41883,12884,12595,239,21,150,34,121,37,54,135,185488,596,42747
경기도,하남시,176100,138937,57298,31793,30999,9680,8135,174,17,68,19,109,24,43,86,138445,492,37163
경기도,파주시,340754,256847,107148,55347,54921,16819,20208,399,52,198,82,224,92,96,259,255845,1002,83907
경기도,여주시,93145,65695,20474,21581,14545,3936,4387,90,13,72,25,66,40,50,90,65369,326,27450
경기도,이천시,167583,121841,44109,33301,26695,7913,8489,145,29,93,35,89,63,69,171,121201,640,45742
경기도,용인시처인구,184406,134872,50423,33153,32027,8707,9227,152,32,80,44,98,57,59,164,134223,649,49534
경기도,용인시수지구,268809,225513,95325,50229,47125,18555,13042,375,16,69,20,94,19,45,89,225003,510,43296
경기도,용인시기흥구,319811,261414,116017,53405,55393,18992,16026,411,13,111,45,141,41,61,112,260768,646,58397
경기도,안성시,148171,106490,39380,26693,25193,6427,7651,158,36,94,33,137,38,65,114,106019,471,41681
경기도,김포시,290415,225075,93697,48490,51081,15614,14517,309,41,131,53,152,58,69,160,224372,703,65340
경기도,광주시,268162,199221,80175,45030,46829,12629,12860,274,36,101,44,181,68,61,219,198507,714,68941
경기도,포천시,128917,90620,27632,28030,22505,5781,5529,114,29,69,36,108,46,62,134,90075,545,38297
경기도,연천군,38909,28675,8384,9557,6805,1901,1581,41,10,28,21,21,18,33,50,28450,225,10234
경기도,양평군,95097,71056,21329,24800,15653,4216,4194,157,14,52,26,31,34,77,86,70669,387,24041
경기도,가평군,53480,38897,10873,13865,9089,2231,2103,99,25,48,36,45,50,50,74,38588,309,14583
강원도,합계,1287173,955885,324768,284909,206840,65278,62389,1426,252,787,321,876,570,870,1350,950636,5249,331288
강원도,춘천시,229286,175879,66874,43494,38684,12402,12758,251,27,104,62,103,60,110,187,175116,763,53407
강원도,원주시,273858,204233,77495,50750,45776,13797,14406,319,47,157,44,198,82,109,215,203395,838,69625
강원도,강릉시,178461,132395,41565,44421,26895,9690,8368,195,19,91,43,99,63,113,150,131712,683,46066
강원도,동해시,76059,55542,17184,19009,11345,3917,3406,95,9,47,24,69,38,38,88,55269,273,20517
강원도,삼척시,59080,44097,13496,15971,8185,2878,2898,52,13,38,21,41,42,77,86,43798,299,14983
강원도,태백시,39001,28101,9557,10046,4971,1468,1736,30,8,24,10,28,12,35,27,27952,149,10900
강원도,정선군,33408,23859,8270,8323,4489,1170,1215,32,15,22,7,35,19,46,64,23707,152,9549
강원도,속초시,67471,46985,15045,13883,11031,3422,3143,73,9,28,14,23,20,33,52,46776,209,20486
강원도,고성군,25637,18692,5664,6511,3964,1239,979,23,8,27,5,16,12,26,47,18521,171,6945
강원도,양양군,23853,17853,5017,6687,3868,1044,954,37,12,22,14,14,18,22,24,17733,120,6000
강원도,인제군,27251,20751,6574,6009,4759,1665,1311,32,13,23,13,21,28,24,69,20541,210,6500
강원도,홍천군,59882,43648,13851,13549,10023,2879,2687,60,20,49,17,81,36,47,63,43362,286,16234
강원도,횡성군,39885,29447,8833,10423,6479,1675,1612,64,8,31,7,37,27,41,44,29281,166,10438
강원도,영월군,34905,25925,8067,8779,5753,1532,1424,40,8,24,12,34,25,47,39,25784,141,8980
강원도,평창군,37478,27444,8591,9348,5998,1547,1588,33,9,26,8,22,34,38,42,27284,160,10034
강원도,화천군,22164,17083,5161,5019,4000,1441,1113,32,8,21,2,14,18,21,41,16891,192,5081
강원도,양구군,19610,14848,4526,4250,3519,1287,944,16,7,19,8,19,24,27,40,14686,162,4762
강원도,철원군,39884,29103,8998,8437,7101,2225,1847,42,12,34,10,22,12,16,72,28828,275,10781
충청북도,합계,1303688,975441,374806,255502,211454,57282,65095,1153,308,722,421,840,686,943,1347,970559,4882,328247
충청북도,청주시상당구,140080,106316,42308,27108,21983,6509,7306,132,27,60,44,95,63,87,127,105849,467,33764
충청북도,청주시서원구,174200,134980,56521,30471,28912,8459,9454,157,30,73,48,103,56,50,114,134448,532,39220
충청북도,청주시흥덕구,202801,153064,66281,31023,32756,9951,11601,144,40,74,73,123,60,71,188,152385,679,49737
충청북도,청주시청원구,150781,115327,50487,24026,24203,7285,8249,114,29,73,34,95,63,67,151,114876,451,35454
충청북도,충주시,172800,127426,43551,38532,28588,7233,8115,151,33,85,44,89,88,129,147,126785,641,45374
충청북도,제천시,113835,84700,28517,26977,17768,5085,5249,99,19,76,40,64,74,106,135,84209,491,29135
충청북도,단양군,26699,19905,5708,7901,4026,978,964,44,10,18,9,11,49,43,19,19780,125,6794
충청북도,영동군,43884,32554,10432,10958,7017,1726,1873,42,18,35,17,50,29,70,77,32344,210,11330
충청북도,보은군,30016,22341,7268,7587,4910,1015,1135,38,14,32,14,22,35,65,47,22182,159,7675
충청북도,옥천군,44730,33175,11181,10431,7465,1552,1905,57,23,53,20,51,52,79,67,32936,239,11555
충청북도,음성군,81508,56788,20723,15180,13381,2988,3671,76,31,57,27,59,44,72,104,56413,375,24720
충청북도,진천군,57571,41255,15844,10265,9489,2239,2925,53,12,36,15,31,21,30,71,41031,224,16316
충청북도,괴산군,34611,25824,7876,9435,5830,1063,1198,29,14,31,19,30,39,55,54,25673,151,8787
충청북도,증평군,30172,21786,8109,5608,5126,1199,1450,17,8,19,17,17,13,19,46,21648,138,8386
충청남도,합계,1711912,1240204,476661,306614,290216,68521,83868,1415,324,1148,429,1260,803,1025,1662,1233946,6258,471708
충청남도,천안시서북구,285471,212329,94202,37293,47891,14613,16591,234,40,125,60,119,89,73,209,211539,790,73142
충청남도,천안시동남구,207268,151132,59695,34869,34933,9089,11067,189,35,130,57,84,66,82,148,150444,688,56136
충청남도,공주시,93453,67018,25036,18449,15814,2948,3852,82,24,58,31,77,57,82,108,66618,400,26435
충청남도,보령시,87274,62825,20674,19453,15428,2819,3546,74,16,68,27,65,51,64,102,62387,438,24449
충청남도,아산시,236407,173795,73461,36741,38368,10252,13340,203,41,132,54,105,64,85,184,173030,765,62612
