지역,선거년도,선거종류,득표_1위_정당,득표_2위_정당,득표_1위_후보번호,득표_1위_득표율,득표_2위_후보번호,득표_2위_득표율,보수정당_후보자수,진보정당_후보자수,그외정당_후보자수,무소속_후보자수,선거인수,투표수,보수정당,진보정당,그외정당,무소속,득표수_계,무효투표수,기권수
서울,2002,광역단체장,보수정당,진보정당,1,0.5229,2,0.4302,1,1,3,1,7665343,3510898,1819057,1496754,128981,34313,3479105,31793,4154445
부산,2002,광역단체장,보수정당,진보정당,1,0.6377,2,0.194,1,1,1,0,2784721,1163040,729589,221938,192594,0,1144121,18919,1621681
대구,2002,광역단체장,보수정당,무소속,1,0.6118,3,0.3882,1,0,0,1,1814278,751994,452943,0,0,287396,740339,11655,1062284
인천,2002,광역단체장,보수정당,진보정당,1,0.5618,2,0.3212,1,1,3,0,1809907,711602,393932,225210,82111,0,701253,10349,1098305
광주,2002,광역단체장,진보정당,무소속,2,0.4682,5,0.2705,1,1,1,3,954481,403821,43695,185938,29427,138088,397148,6673,550660
대전,2002,광역단체장,보수정당,그외정당,1,0.4662,3,0.402,1,0,1,2,987180,417809,191832,0,165426,54225,411483,6326,569371
울산,2002,광역단체장,보수정당,그외정당,1,0.5307,3,0.4362,1,0,2,0,722806,378121,197772,0,174875,0,372647,5474,344685
경기,2002,광역단체장,보수정당,진보정당,1,0.5838,2,0.3599,1,1,1,0,6777575,3024844,1744291,1075243,168357,0,2987891,36953,3752731
강원,2002,광역단체장,보수정당,진보정당,1,0.7112,2,0.2888,1,1,0,0,1129859,671242,468987,190451,0,0,659438,11804,458617
충북,2002,광역단체장,보수정당,그외정당,1,0.586,3,0.3348,1,0,1,1,1076451,600550,343546,0,196253,46459,586258,14292,475901
충남,2002,광역단체장,그외정당,보수정당,3,0.6696,1,0.3304,1,0,1,0,1397105,785742,251005,0,508796,0,759801,25941,611363
전북,2002,광역단체장,진보정당,무소속,2,0.7457,3,0.1713,1,1,0,1,1431722,787135,63661,571650,0,131320,766631,20504,644587
전남,2002,광역단체장,진보정당,무소속,2,0.5777,3,0.2425,1,1,0,3,1533059,1006148,51504,563545,0,360484,975533,30615,526911
경북,2002,광역단체장,보수정당,무소속,1,0.8549,3,0.1451,1,0,0,1,2044215,1234095,1028080,0,0,174472,1202552,31543,810120
경남,2002,광역단체장,보수정당,진보정당,1,0.7451,2,0.1688,1,1,1,0,2227548,1259142,920706,208641,106367,0,1235714,23428,968406
제주,2002,광역단체장,진보정당,보수정당,2,0.5141,1,0.4541,1,1,1,0,387982,267479,119502,135283,8373,0,263158,4321,120503
