지역,선거년도,선거종류,득표_1위_정당,득표_2위_정당,득표_1위_후보번호,득표_1위_득표율,득표_2위_후보번호,득표_2위_득표율,보수정당_후보자수,진보정당_후보자수,그외정당_후보자수,무소속_후보자수,선거인수,투표수,보수정당,진보정당,그외정당,무소속,득표수_계,무효투표수,기권수
서울,2010,광역단체장,보수정당,진보정당,1,0.4744,2,0.4684,1,1,3,0,8211461,4426182,2086127,2059715,251830,0,4397672,28510,3785279
부산,2010,광역단체장,보수정당,진보정당,1,0.5543,2,0.4457,1,1,0,0,2849895,1410126,770507,619565,0,0,1390072,20054,1439769
대구,2010,광역단체장,보수정당,진보정당,1,0.7293,2,0.1687,1,1,1,0,1928835,886035,633118,146458,88599,0,868175,17860,1042800
인천,2010,광역단체장,진보정당,보수정당,2,0.527,1,0.4438,1,1,2,0,2096853,1067431,469040,556902,30838,0,1056780,10651,1029422
광주,2010,광역단체장,진보정당,그외정당,2,0.5674,8,0.1449,1,1,4,0,1064913,529901,74490,297003,151990,0,523483,6418,535012
대전,2010,광역단체장,그외정당,보수정당,3,0.4668,1,0.285,1,1,2,0,1127547,596683,168616,137751,285196,0,591563,5120,530864
울산,2010,광역단체장,보수정당,그외정당,1,0.6126,5,0.2926,1,0,2,0,838805,462103,279421,0,176693,0,456114,5989,376702
경기,2010,광역단체장,보수정당,그외정당,1,0.522,8,0.478,1,0,1,0,8761840,4534771,2271492,0,2079892,0,4351384,183387,4227069
강원,2010,광역단체장,진보정당,보수정당,2,0.5436,1,0.4564,1,1,0,0,1190509,741724,326111,388443,0,0,714554,27170,448785
충북,2010,광역단체장,진보정당,보수정당,2,0.5122,1,0.4591,1,1,1,0,1183811,696393,313646,349913,19551,0,683110,13283,487418
충남,2010,광역단체장,진보정당,그외정당,2,0.4225,3,0.3995,1,1,1,0,1595587,901863,154723,367288,347265,0,869271,32587,693724
전북,2010,광역단체장,진보정당,보수정당,2,0.6868,1,0.182,1,1,3,0,1442805,856111,151064,569980,108886,0,829930,26181,586694
전남,2010,광역단체장,진보정당,보수정당,2,0.683,1,0.134,1,1,2,0,1504902,967338,123548,629984,168801,0,922333,45005,537564
경북,2010,광역단체장,보수정당,진보정당,1,0.7536,2,0.1182,1,1,2,0,2122905,1260591,913812,143347,155361,0,1212520,48071,862314
경남,2010,광역단체장,무소속,보수정당,7,0.535,1,0.465,1,0,0,1,2506393,1549690,705986,0,0,812336,1518322,31368,956703
제주특별자치도,2010,광역단체장,무소속,무소속,9,0.414,8,0.4056,0,1,0,2,424098,276056,0,48186,0,218947,267133,8923,148042
