지역,선거인수,투표수,보수정당,진보정당,그외정당,득표수_계,무효투표수,기권수,선거종류,선거년도
서울,8378339,4455161,2608277,1733183,75459,4416919,38242,3923178,광역단체장,2022
부산,2916832,1432194,938601,455901,19733,1414235,17959,1484638,광역단체장,2022
대구,2044579,883141,685159,156429,28446,870034,13107,1161438,광역단체장,2022
인천,2534338,1240469,634250,545885,45000,1225135,15334,1293869,광역단체장,2022
광주,1206886,454516,71062,334699,41009,446770,7746,752370,광역단체장,2022
대전,1233557,612639,310035,295555,0,605590,7049,620918,광역단체장,2022
울산,941189,491866,290563,195430,0,485993,5873,449323,광역단체장,2022
세종,292259,149751,78415,69995,0,148410,1341,142508,광역단체장,2022
경기,11497206,5820631,2818680,2827593,116536,5762809,57822,5676575,광역단체장,2022
강원,1336080,772498,409461,347766,0,757227,15271,563582,광역단체장,2022
충북,1368779,692324,395517,284166,0,679683,12641,676455,광역단체장,2022
충남,1803096,898369,468658,401308,0,869966,28403,904727,광역단체장,2022
전북,1532133,745354,128828,591510,0,720338,25016,786779,광역단체장,2022
전남,1580098,923347,167020,672433,48336,887789,35558,656751,광역단체장,2022
경북,2268707,1194595,904675,255775,0,1160450,34145,1074112,광역단체장,2022
경남,2804287,1497400,963473,431569,71286,1466328,31072,1306887,광역단체장,2022
제주,565084,300139,116786,163116,15888,295790,4349,264945,광역단체장,2022
